title,sales_company,end_user,delivery_day,user_id,content,status
小売,エイポック,㈱タジマヤ,2017/8/31,2,エイポック→ダイワボウ→㈱東計電算→㈱タジマヤ。4月に決定。,受注
医療,小林クリエイト,国立東京医療センター,2017/12/31,2,富士通経由。競合機種はOPL6845、LI4278、DS4208、DS6878。,継続
FA,日本電計　名古屋,三菱重工業㈱,2017/5/31,2,日本電計→SMFLレンタル→三菱重工。オリックス、ウェルキャット、TECと競合？,継続
医療,郷商事,トーショー,2017/12/31,2,錠剤分包機への組み込み用。競合はオムロンV400-R2-CF65　21000円。,継続
医療,郷商事,トーショー,2017/12/31,2,SL22の後継機種の提案,継続
医療,小林クリエイト,聖隷浜松病院,2017/5/31,2,富士通経由。競合機種はOPL6845。,継続
医療,小林クリエイト,慈恵大学病院,2017/12/31,2,小林クリエイト→富士通→慈恵大学病院。1300gの入れ替え案件。,継続
その他,ネット・エー,(株)ウェルファン,2017/12/31,2,ネットーエーのHP問い合わせ対応。詳細確認中（在庫管理？）,継続
その他,アイニックス,DNP,2018/3/1,2,マイナンバー対応証明写真機搭載。3310gの継続案件。,継続
医療,小林クリエイト,調布東山病院,2017/4/30,2,小林クリエイト→ソフトウェアサービス→調布東山病院。現在、KDC410、SL22も評価中。,継続
その他,NEC＆TEC,トリドール（丸亀製麺）,2017/6/30,2,丸亀製麺の店舗で携帯液晶に表示したクーポン用QR読み取り。競合はDensoQK30。NEC、TECへの動作実績がなく、開発費がかかってしまう。,継続
医療,小林クリエイト,東京大学医学部附属病院,2018/4/1,2,小林クリエイト→富士通→東京大学医学部附属病院。2D＆バイブ必須。競合の電カルメーカーは日立など。,継続
その他,大日本商事,大日本印刷奈良工場,2017/7/31,2,リピート案件。予算申請中。,継続
医療,イナホ,ファーマライズホールディングス,2017/11/30,2,競合はDensoやKeyence（機種不明）。,継続
医療,小林クリエイト,共立蒲原総合病院病院,2017/12/31,2,小林クリエイト→富士通→共立蒲原総合病院病院。,継続
その他,テクノベインズ,トヨタ自動車,2017/12/31,2,テクノベインズ→教育産業→トヨタ。販社で取り扱っているグッズの在庫管理で検討中。,継続
医療,小林クリエイト,大阪警察病院,2018/4/30,2,小林クリエイト→イードクトル→IBMのSier→大阪警察病院。,継続
医療,小林クリエイト,浜松医療センター,2017/4/30,2,小林クリエイト→NEC→浜松医療センター。NEC落札済み。,受注
医療,小林クリエイト,国立静岡医療センター,2017/9/30,2,小林クリエイト→NEC→国立静岡医療センター。NEC落札済み。,受注
医療,小林クリエイト,名古屋大学医学部附属病院,2017/12/31,2,小林クリエイト→富士通→名古屋大学医学部附属病院。富士通落札済み。,受注
医療,小林クリエイト,旭中央病院,2017/10/30,2,小林クリエイト→富士通→旭中央病院。2013年8月に1900GHD×300台をエイポック→ダイワボウ→日鉄住金プラント→国保旭中央病院に実績あり。,継続
医療,小林クリエイト,東京大学病院,2017/12/31,2,小林クリエイト→富士通→東京大学病院。サトーなど競合あり。,継続
その他,フェニックスサプライ,コメダ珈琲,2018/3/1,2,フェニックスサプライ→大日本印刷/名古屋→コメダ珈琲。コメダ珈琲店舗と工場間での飲料ボトル輸送管理システム。,継続
その他,ベスカ,不明,2017/6/30,2,自社決済端末と接続をして、スマホに表示された会員コードCODE128を読み取るシステム。,継続
医療,小林クリエイト,王子生協病院,2017/4/30,2,小林クリエイト→富士通→王子生協病院。,継続
FA,日本電計　兵庫,富士通周辺機,2017/4/30,2,,継続
物流,サトー,アマゾン,2016/7/1,3,,継続
物流,サトー,アマゾン,2016/8/2,3,,継続
物流,サトー,マルト水谷,2016/7/30,3,,継続
FA,サトー,NSK,2016/7/10,3,,継続
FA,サトー,UDトラックス,2016/7/20,3,,継続
FA,サトー,UDトラックス,2016/7/30,3,,継続
その他,サトー,日本郵政,2017/1/1,3,,継続
FA,佐鳥電機,アイシン,2016/7/30,3,,継続
その他,サトー,マルハニチロ,2016/9/1,3,,継続
FA,サトー,パロマ,2017/12/31,3,追加案件,継続
FA,サトー,東レ,2017/12/31,3,直近は10台,継続
その他,メディア九州,大阪府宅地取引業協会,2016/10/1,3,,継続
その他,ネクステップソリューションズ,GOP,2016/7/30,3,PM100からのリプレス,継続
その他,アシュリオンジャパン,アシュリオンジャパン,2016/7/30,3,,継続
FA,サトー,マツダエース,2016/8/1,3,キーエンスからの切り替え,継続
物流,サトー,アマゾン,2016/8/30,3,,継続
物流,サトー,アマゾン,2016/8/30,3,,継続
医療,サトー,ナカニシ,2017/12/31,3,,継続
FA,サトー,フジテック,2016/9/30,3,トーケン経由,継続
FA,サトー,UDトラックス,2016/8/30,3,,継続
FA,サトー,UDトラックス,2016/9/15,3,,継続
医療,サトー,サンド,2017/12/31,3,,継続
その他,サトー,JRバス関東,2016/8/20,3,,継続
FA,マーストーケンソリューション,富士重工,2016/12/10,3,,継続
FA,マーストーケンソリューション,ボストンサイエンティフィックジャパン,2016/9/30,3,客先型番指定,継続
FA,サトー,TDK,2017/3/30,3,,継続
医療,サトー,オムロンソーシャルソリューションズ,2017/3/31,3,2バイト対応要,継続
その他,アシュリオンジャパン,アシュリオンジャパン,2017/8/30,3,,継続
その他,サトー,高砂香料,2016/9/30,3,追加案件,継続
医療,サトー,KRDコーポレーション,2017/3/31,3,1活ではない,継続
FA,サトー,DENSO,2016/10/31,3,,継続
医療,マーストーケンソリューション,アークレイファクトリー,2016/12/31,3,,継続
物流,サトー,アマゾン,2016/9/30,3,,継続
小売,サトー,某紳士服店,2017/5/31,3,AZリーダが競合,継続
物流,サトー,セイコーマート,2016/11/30,3,,継続
その他,サトー,大阪府立高等学校,2016/12/9,3,入札、MS832が競合,継続
物流,サトー,鴻池運輸,2017/5/30,3,グローブセット,継続
FA,サトー,ヨドガワメック,2016/10/14,3,,継続
医療,萩原企画,スタックシステム,2017/12/31,3,元トーケンの萩原さん,継続
小売,サトー,産直センター,2016/11/10,3,分納でトータル50台,継続
FA,サトー,NSKワーナー,2017/1/20,3,追加案件,継続
小売,サトー,リオンドール,2016/11/20,3,分納で年間100台,継続
FA,メディア九州,東京エレクトロ,2017/1/1,3,,継続
小売,ニトリ,ニトリ,2017/1/30,3,新設配送センター,継続
その他,サトー,佐川印刷,2016/12/31,3,,継続
物流,サトー,アマゾン,2016/12/31,3,,継続
その他,サトー,花王,2016/12/31,3,,継続
FA,サトー,東京エレクトロ,2017/1/1,3,GT20Bからのリプレス,継続
その他,サトー,宇徳ビジネスサービス,2017/11/30,3,,継続
その他,アシュリオンジャパン,アシュリオンジャパン,2016/12/10,3,,継続
医療,サトー,新潟大学医歯学総合病院,2016/11.12,3,,継続
その他,サトー,旭有機材,2017/5/30,3,AZリーダが競合,継続
小売,ニトリ,ニトリ,2016/12/20,3,バックアップ用,継続
物流,サトー,日立物流,2016/12/12,3,追加案件,継続
その他,マーストーケンソリューション,某公共機関,2017/12/31,3,,継続
FA,サトー,富士フィルム,2017/1/20,3,,継続
その他,サトー,パナソニック,2017/2/28,3,3回分納,継続
小売,オカベマーキング,スパークル,2017/6/5,3,ユーザー希望1万円,継続
FA,DICグラフィックス,DICグラフィックス,2017/5/1,3,アプリ込み,継続
小売,ニトリ,ニトリ,2017/6/7,3,店長分,継続
その他,マーストーケンソリューション,テルモ,2017/6/8,3,,継続
医療,サトー,ニプロ医工,2017/6/9,3,,継続
その他,サトー,ソフトバンクフレームワークス,2017/3/30,3,,継続
医療,サトー,エーザイ,2017/4/30,3,,継続
医療,サトー,東京医科大学病院,2019/1/30,3,6年保証,継続
FA,サトー,パロマ,2017/12/31,3,,継続
その他,サトー,第一衛材,2017/6/14,3,ソロモンOCR付,継続
その他,アシュリオンジャパン,アシュリオンジャパン,2017/3/10,3,,継続
物流,マーストーケンソリューション,ノイカノンジャパン,2017/12/31,3,,継続
医療,協立電機,バルステック,2019/12/31,3,,継続
小売,サトー,ベルデータ,2017/12/31,3,某靴屋向け、OPN4200競合,継続
その他,サトー,アルデックス,2017/12/31,3,,継続
FA,サトー,本田技研鈴鹿工場,2017/3/30,3,,継続
物流,サトー,アマゾン,2017/3/31,3,,継続
医療,サトー,東大病院,2017/12/22,3,OPL6845のリプレス,継続
その他,アシュリオンジャパン,アシュリオンジャパン,2017/12/31,3,,継続
医療,日立ハイテク,提案中,2017/3/31,4,120～150台/月で継続　,受注
医療,日立ハイテク,提案中,2017/3/31,4,10台/月で継続,受注
医療,日立ハイテク,提案中,2017/3/31,4,Ｆ460ラストバイで終了2016/12月　後継機種Ｆ560認定へ,受注
医療,日立ハイテク,提案中,2017/3/31,4,認定ＯＫ　標準化されて　10台/月ペース,受注
医療,日立ハイテク,提案中,2017/3/31,4,5台/月で継続,受注
医療,日立ハイテク,提案中,2017/3/31,4,9月で納入済み、,受注
医療,日立ハイテク,提案中,2017/3/31,4,納入済み,受注
医療,日立ハイテク,提案中,2017/3/31,4,検討から外れたようです、マゼランが濃厚ですが、正式採用にはなっていません。,失注
FA,　デュプロ,提案中,2017/3/31,4,15台/月のペース　継続機種,受注
FA,　デュプロ,マツダ　他,2017/3/31,4,20台/隔月　　後継機種3320ｇ変更承認済み　20台/隔月　　専用ケーブル　2種,継続
医療,電装産業,ｼﾞｬﾊﾟﾝｾﾐｺﾝﾀﾞｸﾀ,2018/1/3,4,半導体製造装置用ラック読み取り,継続
医療,電装産業,A&T,2018/1/4,4,血液分析器に組み込み,継続
医療,電装産業,A&T,2018/1/5,4,mPam 血液分析装置組み込み,継続
医療,ユタカ電気,フクダ電子,2017/12/31,4,フクダ電子の心電計に採用　（専用ファームウエア）,継続
その他,ユタカ電気,富士電機,2017/3/31,4,自動販売機組み込み　50台ロット　継続,受注
物流,ユタカ電気,日立物流,2018/1/2,4,日立物流　ピッキング用,継続
物流,ユタカ電気,日立物流,2018/1/3,4,日立物流　ピッキング用,継続
物流,ユタカ電気,ｷﾘﾝ,2017/2/28,4,2台目キャノン向けは東研経由で失注しています。キリン導入済み2/17　ＰＣ込　107万,失注
物流,ユタカ電気,ファンケル化粧品,2017/5/31,4,DS7700とマゼラン3200との評価検討中、7980のデータ転送に2秒かかるバグを修正し、再度評価へ,継続
物流,ユタカ電気,JINS,2017/6/1,4,,継続
その他,ビジコム,提案中,2017/6/2,4,セドリ用途、Amzonサイトで販売,継続
物流,ビジコム,提案中,2017/6/3,4,とらや様向け 2台評価用で先行納入済み,受注
物流,ビジコム,提案中,2017/6/4,4,とらや様向け 2台評価用で先行納入済み　7980とセット　セカンダリではない,受注
その他,ビジコム,提案中,2017/12/31,4,パスポート用　OCR-B　付属,継続
小売,ビジコム,ウェルハン,2017/4/30,4,ネットーAより高めで提示、3/312機種デモ機貸し出し,継続
FA,ウェルキャット,提案中,2017/12/31,4,小口案件ばかりで、伸びなし、ホンダもサトー経由,継続
FA,ウェルキャット,提案中,2018/1/1,4,他社価格と比較して高くなってきた、そろそろ価格引き下げ,継続
FA,ウェルキャット,提案中,2018/1/2,4,利幅のある1900の方が売り易いようで、売れない。,継続
FA,ウェルキャット,提案中,2018/1/3,4,無線案件が少ない、あっても1902を売る,継続
物流,ウェルキャット,提案中,2016/8/31,4,マゼラン3200の置き換え、黄色い投光で赤いラベルが読めたので。,受注
FA,ウェルキャット,安川電気,2017/4/1,4,Stream-7のリプレース　総数300台を順次入替,受注
その他,ウェルキャット,ｼｬｰﾌﾟﾋﾞｼﾞﾈｽｼｽﾃﾑ,2017/3/1,4,OPOSのドライバーで不備、SBSがAP修正で稼働、40台3月出荷、残30台未定,受注
医療,ウェルキャット,名古屋液斉会病院,2017/6/1,4,D75eとEDA50で検討中、他社TC55あり,継続
その他,ウェルキャット,NEC経由XX社,2018/3/31,4,NEC経由でタブレットにBT接続、置台は充電だけ・・？　他のBTスキャナにすれば　1602とか,継続
FA,ウェルキャット,田中電子,2017/5/1,4,1900GHD　20台　追加20台あり。,受注
物流,ウェルキャット,安川ロジスティック,2017/3/1,4,安川電気経由、　大阪　板東様,継続
医療,ウェルキャット,都農町国民健康保険病院,2017/5/1,4,入札案件,継続
FA,ウェルキャット,ﾄｯﾊﾟﾝTDKﾚｰﾍﾞﾙ,2018/3/1,4,30Kと多いのですが、キオスクのような運用と聞いています、オカベさん情報では、みずほBK,継続
物流,ウェルキャット,大塚商会,2017/3/31,4,3月末までに納入可能との条件付きで検討したが、受注ならず,失注
FA,ウェルキャット,スズキ自動車,2017/6/1,4,Win　HHTのリクエスト、デモ機評価中　,継続
その他,ウェルキャット,相鉄イン,2017/12/31,4,,継続
その他,ウェルキャット,フジワーク,2017/4/30,4,"競合　Pana　JT-H322HT-20  2Dモデル　＠55,800円　",継続
FA,TEC,出光,2017/12/31,4,デモ機評価検討中,継続
FA,TEC,柿沼製作所,2017/12/31,4,東芝キャリア関連企業　１Dユース,継続
その他,加賀電子,富士通フロンテック,2017/12/31,4,旅館、ホテル向け自動清算機に機見込パスポートよみ画像所得,継続
その他,加賀電子,富士通フロンテック7580．7980．1900,2018/5/31,4,要素開発用に3機種購入いただく、次期POS用,継続
小売,加賀電子,リキッド,2017/5/1,4,ビジコムより仕入れ@2450円　粗利３００円　継続　MAX３０００台,継続
FA,トムラジャパン,提案中,2017/12/31,4,ペットボトル回収機　3310より変更済み,継続
その他,ﾌﾚｸｽﾄﾛﾆｸｽ,TUTAYA,2017/5/31,4,TUTAYA　セルフPOS用　リピート,継続
その他,NEC,TUTAYA,2017/12/31,4,TUTAYA向けセルフPOSバックアップ用として,継続
小売,NEC,バロックシステム,2017/12/31,4,バロックシステム向けNEC　POS,継続
FA,島津エミット,ミネベア,2017/7/1,4,2350をサンプル販売したが、読み取り距離が足りず、再検討中,継続
FA,野村マイクロサイエンス,提案中,2017/5/31,4,1台を販売、協力企業にも販売,継続
物流,ＩＢＳジャパン,日立システムズ,2017/8/31,4,DCMホールディング向け、今回はサンテレホン経由（加藤さん）に決まり進める,受注
FA,Panasonic,提案中,2017/12/31,4,Panasonic社内USE,継続
FA,Panasonic,提案中,2017/12/31,4,Panasonic社内USE,継続
